town,age_group,males_white_non_hispanic,males_black,males_am_indian,males_pac_islander,males_hispanic,females_white_non_hispanic,females_black,females_am_indian,females_pac_islander,females_hispanic
,85+,19,0,0,0,0,22,0,0,0,0
Canton,0--4,260,4,0,1,10,279,4,1,5,10
,5--9,333,4,0,4,5,310,1,0,2,8
,10--14,325,3,0,6,7,299,4,0,2,3
,15--19,249,1,3,5,4,219,3,0,5,10
,20--24,129,3,0,0,1,102,0,0,2,2
,25--29,195,1,0,1,4,188,5,1,0,2
,30--34,284,2,0,1,3,318,3,1,3,10
,35--39,355,2,1,3,0,421,3,0,4,4
,40--44,428,0,0,1,3,454,4,0,4,7
,45--49,379,3,0,3,4,400,2,1,2,1
,50--54,327,1,0,1,3,382,2,0,2,4
,55--59,295,1,0,1,3,259,1,0,2,0
,60--64,186,2,0,0,0,189,0,0,6,1
,65--69,146,0,0,1,1,140,0,0,1,1
,70--74,107,0,0,1,0,118,1,0,1,1
,75--79,80,0,0,0,0,121,1,0,0,1
,80--84,54,1,0,0,2,106,0,0,1,0
,85+,55,2,0,0,0,115,0,0,0,0
Chaplin,0--4,74,0,0,0,4,71,2,0,0,0
,5--9,84,0,0,0,2,68,4,0,0,3
,10--14,86,1,1,2,3,70,1,0,0,1
,15--19,57,2,0,0,2,66,0,0,0,1
,20--24,62,1,2,0,1,56,0,0,1,3
,25--29,67,0,0,2,3,74,0,0,2,1
,30--34,84,0,2,0,1,91,1,0,0,2
,35--39,106,1,0,0,3,111,1,0,0,2
,40--44,114,0,0,0,2,103,0,0,1,2
,45--49,99,0,1,0,0,96,2,0,0,1
,50--54,87,0,0,0,3,72,1,1,0,2
,55--59,52,1,0,0,1,59,0,0,0,1
,60--64,46,0,1,0,0,40,0,0,0,0
,65--69,23,0,0,0,1,31,0,0,0,0
,70--74,22,1,0,0,0,23,0,0,0,0
,75--79,22,0,0,0,1,28,0,0,0,0
,80--84,11,0,0,0,0,10,0,0,0,0
,85+,3,0,0,0,0,7,0,0,0,0
Cheshire,0--4,805,6,0,32,9,728,8,0,31,21
,5--9,978,10,0,34,20,903,11,0,37,24
,10--14,1015,6,3,42,20,981,8,5,45,24
,15--19,992,354,12,35,248,710,9,1,20,12
,20--24,448,255,7,20,187,313,1,1,20,3
,25--29,495,148,5,12,132,425,5,0,16,5
,30--34,814,146,4,27,97,775,12,1,32,15
,35--39,1144,120,4,29,71,1057,11,2,41,24
,40--44,1183,88,4,48,52,1249,7,1,35,27
,45--49,1140,45,3,27,25,1137,16,1,42,7
,50--54,1041,29,0,27,19,1024,13,1,31,8
,55--59,752,16,1,16,10,749,6,0,20,7
,60--64,462,6,1,19,9,451,3,0,10,3
,65--69,357,0,0,12,4,437,4,0,7,6
,70--74,356,5,0,3,4,468,3,0,4,3
,75--79,281,2,0,1,3,425,5,1,2,2
,80--84,206,1,0,1,0,380,2,0,2,4
,85+,182,2,0,1,3,406,3,0,3,1
Chester,0--4,108,0,1,3,4,107,2,1,3,7
,5--9,89,2,1,3,0,116,4,2,0,3
,10--14,114,1,0,2,2,115,3,0,0,6
,15--19,95,3,0,0,0,91,1,0,0,2
,20--24,58,0,0,2,1,42,0,1,2,4
,25--29,61,0,0,2,1,74,3,0,1,2
,30--34,130,2,0,4,4,140,2,0,1,3
,35--39,146,0,0,0,2,148,2,0,3,4
,40--44,184,0,1,1,2,197,1,1,2,3
,45--49,172,0,2,0,2,149,2,0,0,1
,50--54,146,2,4,0,2,134,1,0,0,1
,55--59,125,0,0,0,2,107,0,0,1,3
,60--64,63,0,0,2,0,60,0,0,0,0
,65--69,58,0,0,0,1,54,0,0,0,0
,70--74,58,0,0,0,1,62,1,0,1,0
,75--79,42,0,0,0,0,69,0,0,1,0
,80--84,42,0,0,0,1,99,0,0,0,0
,85+,39,0,0,0,0,115,0,0,0,0
Clinton,0--4,399,6,1,9,19,372,4,2,8,28
,5--9,421,4,0,3,33,451,5,0,8,28
,10--14,430,5,0,13,26,423,6,2,5,25
,15--19,388,3,0,8,25,374,4,1,4,19
,20--24,234,0,0,3,12,221,5,1,3,17
,25--29,322,1,0,3,24,301,0,1,6,16
,30--34,456,3,0,7,29,496,2,3,5,31
,35--39,561,7,5,10,23,572,1,2,7,27
,40--44,506,4,1,10,21,560,4,0,5,22
,45--49,501,4,1,10,18,550,1,2,8,12
,50--54,467,4,0,4,10,544,2,3,7,10
,55--59,393,3,0,2,9,426,3,1,2,7
,60--64,253,2,0,2,5,262,2,1,0,6
,65--69,199,3,0,1,5,230,0,1,3,3
,70--74,158,1,0,0,0,189,0,0,2,3
,75--79,131,1,0,1,3,193,2,0,0,3
,80--84,68,0,0,1,3,139,0,0,0,1
,85+,43,0,0,0,0,94,0,0,0,0
Colchester,0--4,579,11,4,5,18,593,10,3,4,22
,5--9,631,18,2,5,19,601,13,2,3,23
,10--14,559,15,3,4,9,583,14,3,2,10
,15--19,405,5,5,4,8,385,14,0,5,8
,20--24,216,7,1,1,6,228,6,2,2,5
,25--29,346,4,4,3,5,399,3,4,9,13
,30--34,591,7,4,6,19,672,12,3,4,19
,35--39,740,7,1,3,14,765,7,3,5,15
,40--44,769,14,6,3,11,780,7,1,9,9
,45--49,498,11,0,5,4,507,13,1,2,3
,50--54,437,7,1,0,3,419,6,2,1,6
,55--59,290,3,1,0,1,265,3,1,1,6
,60--64,192,4,3,0,0,184,4,0,2,6
,65--69,150,4,0,0,4,176,3,1,2,3
,70--74,138,2,0,2,2,158,1,0,2,5
,75--79,87,3,0,0,1,164,4,0,2,0
,80--84,78,2,0,1,0,139,5,0,0,1
,85+,56,0,0,0,0,140,1,1,0,2
Colebrook,0--4,41,0,0,0,3,46,0,0,0,1
,5--9,48,1,1,2,6,50,0,0,0,1
,10--14,56,1,0,2,3,54,1,0,1,2
,15--19,39,0,0,0,1,24,0,0,0,5
,20--24,22,0,0,0,2,15,0,0,0,0
,25--29,31,2,0,0,0,27,0,0,0,0
,30--34,35,0,0,0,0,54,1,0,0,1
,35--39,63,1,0,0,2,67,0,0,0,1
,40--44,74,1,0,1,3,67,0,0,3,2
,45--49,68,0,0,0,1,63,1,0,0,0
,50--54,62,0,0,0,1,53,1,0,0,0
,55--59,45,0,0,0,0,38,0,0,0,0
,60--64,29,1,0,0,0,41,0,0,2,0
,65--69,40,0,0,0,0,27,0,0,0,0
,70--74,22,0,0,0,0,25,0,0,0,1
,75--79,16,0,0,0,0,14,0,0,0,0
,80--84,16,0,0,0,1,22,0,0,0,0
,85+,5,0,0,0,0,17,0,0,0,0
Columbia,0--4,154,0,1,1,10,155,1,0,0,4
,5--9,174,3,2,4,6,204,1,0,1,6
,10--14,185,1,0,2,4,185,4,0,1,6
,15--19,147,0,0,2,5,113,0,0,3,3
,20--24,66,1,0,0,2,72,2,0,1,4
,25--29,99,0,0,1,1,97,0,0,2,2
,30--34,135,0,0,1,5,178,0,1,1,1
,35--39,212,0,0,1,3,238,2,0,4,3
,40--44,255,3,0,0,3,247,2,0,1,5
,45--49,225,3,0,2,3,238,0,0,1,4
,50--54,213,2,0,1,1,210,1,0,3,1
,55--59,148,1,0,1,0,144,1,0,0,2
